id,label,square,piece,shap_win,shap_loss
20,f2,f2,♙,0.0,0.0
20,Be2,e2,♗,0.0,0.0
20,b3,b3,♟,0.0,0.0
20,g2,g2,♙,0.0,0.0
20,h3,h3,♙,0.0,0.0
20,Ba6,a6,♝,0.0,0.0
20,d5,d5,♙,0.0,0.0
20,e4,e4,♙,0.0,0.0
20,c4,c4,♟,0.0,0.0
20,g6,g6,♟,0.0,0.0
20,d6,d6,♟,0.0,0.0
20,f7,f7,♟,0.0,0.0
20,h7,h7,♟,0.0,0.0
21,Re7,e7,♜,-0.382,0.38192350487088567
21,Ra1,a1,♖,0.326,-0.3255851514044707
21,Nc3,c3,♞,-0.214,0.2140280474976917
21,c6,c6,♙,0.199,-0.19859238866293022
21,Nc4,c4,♘,0.181,-0.1805564246930503
21,Na4,a4,♞,-0.18,0.1797905452273058
21,b3,b3,♟,-0.165,0.16470972115845292
21,Be3,e3,♗,0.161,-0.16133737797793415
21,f2,f2,♙,0.067,-0.06733680645403563
21,g2,g2,♙,0.054,-0.05404366956191507
21,h3,h3,♙,0.0,0.0
21,e4,e4,♙,0.0,0.0
21,d6,d6,♟,0.0,0.0
21,g6,g6,♟,0.0,0.0
21,f7,f7,♟,0.0,0.0
21,h7,h7,♟,0.0,0.0
22,Qd3,d3,♕,0.424,-0.4244873128657013
22,Qc7,c7,♛,-0.388,0.38804239842123806
22,Rf6,f6,♜,-0.244,0.2435390945620999
22,Rd1,d1,♖,0.221,-0.22109529954323184
22,Ra8,a8,♜,-0.217,0.2166953673669237
22,Rh1,h1,♖,0.186,-0.18646756311412022
22,Be8,e8,♝,-0.159,0.15907956708838739
22,Bc5,c5,♗,0.127,-0.1272824947594311
22,Be2,e2,♗,0.109,-0.10886274651135186
22,Nb3,b3,♘,0.103,-0.10316101064481269
22,Nc3,c3,♘,0.0,0.0
22,h2,h2,♙,0.0,0.0
22,b2,b2,♙,0.0,0.0
22,g2,g2,♙,0.0,0.0
22,a2,a2,♙,0.0,0.0
22,f3,f3,♙,0.0,0.0
22,e4,e4,♙,0.0,0.0
22,f4,f4,♟,0.0,0.0
22,Nd6,d6,♞,0.0,0.0
22,c6,c6,♟,0.0,0.0
22,g5,g5,♟,0.0,0.0
22,e5,e5,♟,0.0,0.0
22,Bg7,g7,♝,0.0,0.0
22,a7,a7,♟,0.0,0.0
22,h7,h7,♟,0.0,0.0
22,Nc8,c8,♞,0.0,0.0
23,Qc7,c7,♛,-0.352,0.35242862145386417
23,Qa8,a8,♕,0.335,-0.3354331904879655
23,Rc1,c1,♖,0.296,-0.2959443922617318
23,Bc6,c6,♝,-0.274,0.2743014675535124
23,Rf6,f6,♜,-0.248,0.24787388072030175
23,Rh1,h1,♖,0.215,-0.21460392761205876
23,Bg7,g7,♝,-0.134,0.13422320085782266
23,Be2,e2,♗,0.127,-0.12672182449480904
23,Nb3,b3,♘,0.122,-0.12249823556238014
23,Nf7,f7,♞,-0.115,0.11537439983344426
23,g2,g2,♙,0.0,0.0
23,b2,b2,♙,0.0,0.0
23,a2,a2,♙,0.0,0.0
23,h2,h2,♙,0.0,0.0
23,b6,b6,♟,0.0,0.0
23,g5,g5,♟,0.0,0.0
23,e5,e5,♟,0.0,0.0
23,f4,f4,♟,0.0,0.0
23,e4,e4,♙,0.0,0.0
23,f3,f3,♙,0.0,0.0
23,h7,h7,♟,0.0,0.0
23,Nc8,c8,♞,0.0,0.0
24,Rc7,c7,♖,0.423,-0.4225540918428629
24,Ba8,a8,♝,-0.241,0.24058926180691906
24,Bf8,f8,♝,-0.204,0.20401185479163142
24,Nf7,f7,♞,-0.19,0.19002944069078803
24,Nd2,d2,♘,0.176,-0.1764350800850142
24,a4,a4,♙,0.149,-0.1493417740138714
24,f4,f4,♟,-0.138,0.138138391707087
